N,T1,T2
532,190,0
533,220,0
534,210,0
535,210,0
536,180,0
537,220,0
538,190,0
539,240,0
540,340,0
541,520,0
542,190,0
543,180,0
544,180,0
545,230,0
546,280,0
547,330,0
548,220,0
549,210,0
550,250,0
551,450,0
552,210,0
553,210,0
554,750,0
555,310,0
556,300,0
557,210,0
558,250,0
559,220,0
560,220,0
561,200,0
562,300,0
563,210,0
564,280,0
565,280,0
566,290,0
567,170,0
568,170,0
569,240,0
570,230,0
571,250,0
572,210,0
573,300,0
574,260,0
575,260,0
576,180,0
577,270,0
578,260,0
579,390,0
580,260,0
581,340,0
582,230,0
583,200,0
584,190,0
585,250,0
586,240,0
587,290,0
588,220,0
589,230,0
590,230,0
591,340,0
592,230,0
593,210,0
594,910,0
595,320,0
596,240,0
597,280,0
598,760,0
599,510,0
600,410,0
601,320,0
602,260,0
603,210,0
604,290,0
605,310,0
606,230,0
607,640,0
608,210,0
609,230,0
610,410,0
611,210,0
612,300,0
613,260,0
614,210,0
615,300,0
616,210,0
617,210,0
618,340,0
619,280,0
620,280,0
621,220,0
622,250,0
623,280,0
624,210,0
625,360,0
626,260,0
627,290,0
628,200,0
629,480,0
630,270,0
631,570,0
632,230,0
633,260,0
634,180,0
635,230,0
636,220,0
637,220,0
638,180,0
639,300,0
640,200,0
641,300,0
642,270,0
643,280,0
644,350,0
645,240,0
646,290,0
647,240,0
648,200,0
649,310,0
650,290,0
651,310,0
652,270,0
653,260,0
654,250,0
655,210,0
656,260,0
657,270,0
658,690,0
659,220,0
660,220,0
661,310,0
662,270,0
663,230,0
664,350,0
665,400,0
666,230,0
667,290,0
668,300,0
669,190,0
670,190,0
671,260,0
672,200,0
673,250,0
674,250,0
675,340,0
676,250,0
677,360,0
678,200,0
679,320,0
680,260,0
681,280,0
682,220,0
683,220,0
684,300,0
685,200,0
686,340,0
687,410,0
688,280,0
689,510,0
690,300,0
691,250,0
692,410,0
693,240,0
694,310,0
695,300,0
696,220,0
697,440,0
698,260,0
699,320,0
700,550,0
701,690,0
702,820,0
703,300,0
704,310,0
705,280,0
706,720,0
707,290,0
708,320,0
709,220,0
710,270,0
711,290,0
712,320,0
713,390,0
714,330,0
715,250,0
716,430,0
717,250,0
718,250,0
719,370,0
720,460,0
721,210,0
722,370,0
723,240,0
724,310,0
725,470,0
726,280,0
727,210,0
728,310,0
729,280,0
730,180,0
731,230,0
732,250,0
733,360,0
734,800,0
735,230,0
736,620,0
737,420,0
738,480,0
739,280,0
740,410,0
741,240,0
742,290,0
743,210,0
744,240,0
745,240,0
746,330,0
747,340,0
748,490,0
749,230,0
750,380,0
751,320,0
752,240,0
753,230,0
754,220,0
755,630,0
756,260,0
757,300,0
758,240,0
759,320,0
760,300,0
761,320,0
762,790,0
763,450,0
764,610,0
765,410,0
766,330,0
767,280,0
768,280,0
769,600,0
770,450,0
771,340,0
772,340,0
773,230,0
774,310,0
775,350,0
776,400,0
777,310,0
778,360,0
779,780,0
780,260,0
781,280,0
782,370,0
783,360,0
784,280,0
785,310,0
786,700,0
787,420,0
788,250,0
789,290,0
790,330,0
791,810,0
792,260,0
793,440,0
794,440,0
795,310,0
796,360,0
797,310,0
798,270,0
799,270,0
800,270,0
801,590,0
802,270,0
803,280,0
804,290,0
805,260,0
806,340,0
807,310,0
808,290,0
809,210,0
810,240,0
811,230,0
812,370,0
813,400,0
814,660,0
815,420,0
816,330,0
817,320,0
818,320,0
819,500,0
820,430,0
821,300,0
822,360,0
823,300,0
824,210,0
825,310,0
826,400,0
827,240,0
828,310,0
829,350,0
830,530,0
831,240,0
832,250,0
833,340,0
834,360,0
835,440,0
836,1560,0
837,360,0
838,340,0
839,310,0
840,240,0
841,530,0
842,340,0
843,270,0
844,300,0
845,370,0
846,300,0
847,220,0
848,290,0
849,450,0
850,370,0
851,310,0
852,450,0
853,250,0
854,540,0
855,350,0
856,310,0
857,410,0
858,660,0
859,420,0
860,360,0
861,350,0
862,590,0
863,270,0
864,300,0
865,270,0
866,420,0
867,300,0
868,290,0
869,490,0
870,620,0
871,280,0
872,500,0
873,870,0
874,730,0
875,450,0
876,730,0
877,370,0
878,370,0
879,1470,0
880,280,0
881,550,0
882,440,0
883,270,0
884,250,0
885,250,0
886,290,0
887,340,0
888,260,0
889,290,0
890,590,0
891,310,0
892,230,0
893,240,0
894,350,0
895,270,0
896,300,0
897,250,0
898,260,0
899,400,0
