N,T1,T2
532,220,0
533,210,0
534,210,0
535,270,0
536,200,0
537,400,0
538,330,0
539,640,0
540,370,0
541,240,0
542,480,0
543,430,0
544,1260,0
545,310,0
546,520,0
547,290,0
548,230,0
549,1010,0
550,290,0
551,400,0
552,730,0
553,800,0
554,260,0
555,330,0
556,290,0
557,320,0
558,290,0
559,350,0
560,390,0
561,250,0
562,170,0
563,300,0
564,380,0
565,320,0
566,260,0
567,270,0
568,230,0
569,270,0
570,270,0
571,240,0
572,260,0
573,250,0
574,220,0
575,330,0
576,210,0
577,300,0
578,220,0
579,280,0
580,240,0
581,340,0
582,200,0
583,240,0
584,280,0
585,280,0
586,240,0
587,280,0
588,200,0
589,200,0
590,320,0
591,180,0
592,200,0
593,180,0
594,200,0
595,190,0
596,220,0
597,180,0
598,230,0
599,210,0
600,240,0
601,250,0
602,200,0
603,230,0
604,230,0
605,220,0
606,200,0
607,230,0
608,200,0
609,210,0
610,240,0
611,200,0
612,180,0
613,180,0
614,240,0
615,180,0
616,180,0
617,200,0
618,200,0
619,190,0
620,290,0
621,180,0
622,180,0
623,200,0
624,210,0
625,180,0
626,190,0
627,220,0
628,180,0
629,230,0
630,190,0
631,210,0
632,220,0
633,220,0
634,240,0
635,560,0
636,260,0
637,200,0
638,260,0
639,250,0
640,210,0
641,190,0
642,420,0
643,320,0
644,260,0
645,300,0
646,170,0
647,220,0
648,500,0
649,210,0
650,200,0
651,290,0
652,210,0
653,210,0
654,370,0
655,170,0
656,210,0
657,280,0
658,480,0
659,340,0
660,180,0
661,200,0
662,180,0
663,180,0
664,290,0
665,290,0
666,330,0
667,330,0
668,330,0
669,170,0
670,260,0
671,270,0
672,240,0
673,280,0
674,560,0
675,250,0
676,270,0
677,330,0
678,180,0
679,210,0
680,200,0
681,210,0
682,290,0
683,240,0
684,210,0
685,220,0
686,430,0
687,210,0
688,200,0
689,600,0
690,220,0
691,230,0
692,530,0
693,290,0
694,710,0
695,1100,0
696,330,0
697,560,0
698,570,0
699,410,0
700,540,0
701,290,0
702,300,0
703,850,0
704,430,0
705,330,0
706,310,0
707,410,0
708,250,0
709,460,0
710,270,0
711,240,0
712,240,0
713,240,0
714,360,0
715,240,0
716,240,0
717,260,0
718,240,0
719,230,0
720,430,0
721,220,0
722,300,0
723,240,0
724,220,0
