N,T1,T2
457,38380,0
458,35870,0
459,33490,0
460,25230,0
461,33260,0
462,25320,0
463,27800,0
464,38370,0
465,30950,0
466,30140,0
467,28070,0
468,15860,0
469,19920,0
470,42030,0
471,34450,0
472,43690,0
473,33160,0
474,39770,0
475,28280,0
476,32580,0
477,40230,0
478,60250,0
479,47300,0
480,48590,0
481,35360,0
482,34200,0
483,49790,0
484,55370,0
485,47300,0
486,53920,0
487,29220,0
488,14060,0
489,35470,0
490,40570,0
491,27000,0
492,37280,0
493,27780,0
494,32140,0
495,26560,0
496,27220,0
497,30830,0
498,27510,0
499,55580,0
500,27600,0
501,48340,0
502,22220,0
503,16860,0
504,27050,0
505,25850,0
506,29470,0
507,41890,0
508,35960,0
509,41300,0
510,17860,0
511,17870,0
512,22550,0
513,36750,0
514,29880,0
515,55370,0
516,21180,0
517,27510,0
518,32560,0
519,34220,0
520,30800,0
521,59270,0
522,26420,0
523,38870,0
524,42320,0
525,24730,0
526,45760,0
527,17390,0
528,20620,0
529,43830,0
530,18600,0
531,23970,0
532,27030,0
533,28160,0
534,34270,0
535,46340,0
536,31400,0
537,38700,0
538,31720,0
539,35310,0
540,26570,0
541,24140,0
542,16740,0
543,22020,0
544,35300,0
545,44890,0
546,76370,0
547,40940,0
548,39460,0
549,29910,0
550,31720,0
551,32290,0
552,29840,0
553,39580,0
554,39240,0
555,53620,0
556,28440,0
557,43510,0
558,33890,0
559,38760,0
560,32240,0
561,35450,0
562,19970,0
563,44300,0
564,32540,0
565,21320,0
566,26430,0
567,44130,0
568,37260,0
569,56230,0
570,49530,0
571,21910,0
572,21920,0
573,38780,0
574,39630,0
575,41710,0
576,22910,0
577,29230,0
578,32520,0
579,29370,0
580,57720,0
581,33560,0
582,39360,0
583,49120,0
584,53420,0
585,67120,0
586,32050,0
587,35750,0
588,29340,0
589,31190,0
590,31780,0
591,32860,0
592,29720,0
593,30120,0
594,41990,0
595,30840,0
596,44970,0
597,39200,0
598,19190,0
599,21590,0
600,29650,0
601,29740,0
602,39040,0
603,28340,0
604,33370,0
605,45530,0
606,42420,0
607,31390,0
608,33750,0
609,35990,0
610,50590,0
611,42550,0
612,47370,0
613,26000,0
614,24910,0
615,27970,0
616,21870,0
617,41080,0
618,20830,0
619,17730,0
620,11100,0
621,27180,0
622,35620,0
623,19600,0
624,21820,0
625,36970,0
626,29680,0
627,39080,0
628,32370,0
629,22440,0
630,27330,0
631,38250,0
632,36590,0
633,50970,0
634,45330,0
635,28030,0
636,26050,0
637,51790,0
638,44030,0
639,42840,0
640,30850,0
641,43700,0
642,33030,0
643,36200,0
644,27900,0
645,32140,0
646,21870,0
647,42060,0
648,22670,0
649,19360,0
650,45100,0
651,39630,0
652,29000,0
653,22540,0
654,27320,0
655,34810,0
656,40590,0
657,31310,0
658,33390,0
659,45220,0
660,37250,0
661,38680,0
662,43360,0
663,37010,0
664,51020,0
665,13050,0
666,33550,0
667,29350,0
668,35530,0
669,31290,0
670,34130,0
671,59010,0
672,31740,0
673,42330,0
674,25190,0
675,30530,0
676,40450,0
677,39230,0
678,22300,0
679,24300,0
680,28840,0
681,33100,0
682,27080,0
683,96830,0
684,28990,0
685,23950,0
686,20630,0
687,25160,0
688,36780,0
689,18250,0
690,34190,0
691,49940,0
692,31820,0
693,25390,0
694,29950,0
695,36100,0
696,25890,0
697,31370,0
698,44040,0
699,21020,0
700,33720,0
701,25720,0
702,33840,0
703,36900,0
704,30110,0
705,28170,0
