N,T1,T2
457,46120,0
458,27700,0
459,25560,0
460,38020,0
461,32350,0
462,32690,0
463,60940,0
464,36060,0
465,45910,0
466,21790,0
467,26950,0
468,26950,0
469,26890,0
470,33930,0
471,46570,0
472,35960,0
473,43890,0
474,29830,0
475,53250,0
476,25940,0
477,45820,0
478,22770,0
479,19300,0
480,50580,0
481,55640,0
482,30520,0
483,30670,0
484,28820,0
485,37800,0
486,36390,0
487,34920,0
488,52560,0
489,48740,0
490,35770,0
491,51220,0
492,43040,0
493,27960,0
494,19750,0
495,40270,0
496,31800,0
497,36580,0
498,54960,0
499,56050,0
500,24020,0
501,35800,0
502,25420,0
503,38870,0
504,19850,0
505,33450,0
506,32430,0
507,35560,0
508,23140,0
509,36300,0
510,49160,0
511,45040,0
512,33160,0
513,34510,0
514,36180,0
515,28820,0
516,36200,0
517,32270,0
518,38170,0
519,45670,0
520,23980,0
521,27210,0
522,65320,0
523,31440,0
524,22930,0
525,35360,0
526,23890,0
527,27010,0
528,27000,0
529,27190,0
530,32140,0
531,53330,0
532,48590,0
533,28080,0
534,53480,0
535,44440,0
536,57390,0
537,39980,0
538,28740,0
539,25020,0
540,56560,0
541,21380,0
542,14760,0
543,36770,0
544,43470,0
545,26880,0
546,31730,0
547,28050,0
548,31570,0
549,45230,0
550,24080,0
551,39010,0
552,39020,0
553,48490,0
554,29850,0
555,41770,0
556,35300,0
557,46430,0
558,38870,0
559,40290,0
560,46620,0
561,41320,0
562,33020,0
563,34140,0
564,38820,0
565,28740,0
566,42020,0
567,53890,0
568,71920,0
569,36080,0
570,22130,0
571,32460,0
572,47250,0
573,27990,0
574,50240,0
575,27710,0
576,19700,0
577,42820,0
578,43780,0
579,33680,0
580,53870,0
581,45930,0
582,45920,0
583,42550,0
584,75060,0
585,28850,0
586,65570,0
587,28730,0
588,23220,0
589,21180,0
590,41950,0
591,27270,0
592,41410,0
593,28840,0
594,23100,0
595,23410,0
596,41610,0
597,49000,0
598,22780,0
