N,T1,T2
457,320480,160
458,299160,190
459,302250,210
460,284700,230
461,336680,160
462,229000,170
463,252660,180
464,323950,230
465,258320,430
466,322590,250
467,332730,260
468,329330,210
469,362680,240
470,195020,190
471,340140,340
472,326290,280
473,248840,310
474,337540,600
475,249640,310
476,273860,250
477,355570,360
478,228960,760
479,273650,290
480,250050,270
481,201070,270
482,192040,410
483,370700,390
484,323030,270
485,309810,210
486,315800,260
487,281760,660
488,260210,360
489,273030,250
490,295040,200
491,304630,490
492,340360,180
493,217240,300
494,290440,190
495,298060,310
496,348320,230
497,184820,180
498,236310,150
499,217860,180
500,268720,280
501,331330,450
502,312410,210
503,378150,430
504,349780,240
505,305450,240
506,381010,280
507,315110,190
508,224580,190
509,403220,200
510,264060,310
511,178250,180
512,279240,190
513,268770,170
514,268380,180
515,316160,160
516,358060,220
517,293380,130
518,239450,150
519,309770,150
520,299240,180
521,264740,160
522,315900,290
523,276480,130
524,282710,210
525,347220,200
526,347060,350
527,213900,170
528,310230,240
529,290350,200
530,381400,350
531,248680,210
532,311370,200
533,353680,200
534,228850,170
535,456970,180
536,278810,170
537,418700,200
538,289350,160
539,345840,400
540,263370,250
541,275870,200
542,451770,320
543,438930,190
544,259900,180
545,336670,230
546,220240,210
547,315980,240
548,310940,170
549,223020,140
550,340680,180
551,259340,180
552,428110,200
553,478110,220
554,357760,230
555,318000,260
556,278710,180
557,350350,190
558,259740,180
559,331240,190
560,237740,150
561,208050,180
562,296880,170
563,316550,230
564,358800,170
565,330200,200
566,271830,320
567,266500,230
568,224700,200
569,369000,190
570,340810,200
571,273420,160
572,340000,230
573,220550,160
574,401180,210
575,361270,200
576,346330,190
577,246760,210
578,433840,280
579,362560,380
580,318060,190
581,354220,200
582,353870,200
583,225870,200
584,358480,200
585,376320,340
586,305980,250
587,316750,230
588,367870,220
589,333510,480
590,343610,240
591,293800,210
592,385380,400
593,445680,230
594,383100,170
595,310150,210
596,408730,240
597,288400,240
598,332090,230
599,288180,170
600,186420,170
601,363890,180
602,349250,340
603,451360,270
604,360170,240
605,420560,220
606,259760,230
607,409360,480
608,403110,230
609,260410,240
610,408480,230
611,342470,390
612,420140,220
613,343650,250
614,280140,230
615,500230,580
616,356480,530
617,262560,350
618,452670,420
619,321070,410
620,355770,290
621,399960,480
622,343360,440
623,473850,580
624,369810,490
625,326900,840
626,321160,500
627,282570,480
628,429760,410
629,422140,470
630,382310,410
631,329280,480
632,395380,430
633,375090,330
634,486170,480
635,310380,650
636,307640,420
637,439550,400
638,349490,410
639,434420,490
640,384580,400
641,401980,690
642,458950,510
643,564210,500
644,361600,340
645,246650,230
646,403960,570
647,359080,610
648,394390,360
649,324910,570
650,356820,390
651,344880,520
652,382710,470
653,405400,360
654,366520,400
655,381100,390
656,457370,440
657,266020,380
658,330200,330
659,284050,250
660,296200,280
661,220670,350
662,389280,210
663,311040,290
664,452230,320
665,246480,220
666,343900,270
667,381480,230
668,306670,260
669,441930,260
670,380400,170
671,364990,240
672,403880,190
673,255060,220
674,514970,600
675,367220,500
676,277020,220
677,521640,510
678,362260,240
679,371470,210
680,394810,280
681,471020,530
682,470170,250
683,444410,540
684,450120,390
685,381800,230
686,360860,290
687,375920,360
688,643550,440
689,497720,530
690,434150,390
691,427120,300
692,520450,340
693,461960,310
694,332300,430
695,317720,360
696,413730,350
697,467110,540
698,470520,320
699,346810,570
700,494570,380
701,424060,370
702,355910,440
703,331690,400
704,335980,520
705,361740,440
706,355270,340
707,369810,280
708,414770,330
709,387540,230
710,318350,230
711,341500,250
712,432910,220
713,529000,200
714,382770,230
715,252310,320
716,258160,200
717,362650,230
718,468710,350
719,306390,230
720,305060,230
721,477460,240
722,395710,180
723,263390,190
724,506850,250
725,253380,250
726,412680,210
727,293430,250
728,561360,270
729,395020,270
730,292020,360
731,291140,240
732,450230,240
733,325080,420
734,358310,330
735,360370,300
736,417680,340
737,447300,280
738,581880,230
739,564610,250
740,357010,240
741,261270,340
742,537460,320
743,580580,310
744,443550,330
745,283320,260
746,465460,260
747,469290,280
748,525810,370
749,692810,520
750,340280,220
751,501430,470
752,314120,520
753,549830,270
754,483020,220
