N,T
550,6.1
551,6.3
552,6
553,6.2
554,6.2
555,6.2
556,6.2
557,6.2
558,6.2
559,6.7
560,6.4
561,6.3
562,6.3
563,6.3
564,6.3
565,6.3
566,6.4
567,6.5
568,6.4
569,6.5
570,6.4
571,6.4
572,6.5
573,6.5
574,6.4
575,6.5
576,6.5
577,6.6
578,6.7
579,6.5
580,6.4
581,6.5
582,6.6
583,6.5
584,6.6
585,6.5
586,6.6
587,6.6
588,6.6
589,6.5
590,6.6
591,6.7
592,6.5
593,6.7
594,6.6
595,6.5
596,6.6
597,6.9
598,6.8
599,6.8
600,6.8
601,6.8
602,6.8
603,6.9
604,6.7
605,6.8
606,6.8
607,6.8
608,6.9
609,6.8
610,6.8
611,6.8
612,7
613,6.8
614,6.9
615,6.8
616,6.9
617,6.9
618,6.9
619,6.8
620,7
621,6.9
622,6.9
623,6.9
624,7
625,7
626,7
627,7
628,7
629,7.1
630,7.1
631,7.1
632,7.1
633,7.1
634,7.1
635,7.1
636,7.2
637,7.1
638,7.2
639,7.3
640,7.6
641,7.2
642,7
643,7.2
644,7.2
645,7.1
646,7.2
647,7.2
648,7.4
649,7.3
650,7.2
651,7.3
652,7.4
653,7.3
654,7.3
655,7.4
656,7.3
657,7.3
658,7.3
659,7.4
660,7.3
661,7.3
662,7.4
663,7.4
664,7.4
665,7.4
666,7.6
667,7.6
668,7.5
669,7.5
670,7.5
671,7.6
672,7.6
673,7.6
674,7.7
675,7.5
676,7.5
677,7.6
678,7.8
679,7.6
680,7.8
681,7.6
682,7.6
683,7.8
684,7.8
685,7.7
686,7.7
687,7.8
688,7.9
689,7.9
690,7.8
691,7.9
692,7.9
693,7.7
694,7.7
695,7.7
696,7.8
697,7.9
698,8
699,7.9
700,7.8
701,7.9
702,7.8
703,7.8
704,7.9
705,7.9
706,7.9
707,7.9
708,7.9
709,7.9
710,7.9
711,7.8
712,7.9
713,8
714,8.2
715,7.9
716,8.1
717,8.3
718,8.2
719,8.1
720,8.1
721,8.2
722,8.3
723,8.4
724,8.2
725,8.2
726,8.2
727,8.2
728,8.3
729,8.5
730,8.3
731,8.3
732,8.3
733,8.4
734,8.4
735,8.4
736,8.4
737,8.4
738,8.4
739,8.4
740,8.4
741,8.5
742,8.4
743,8.4
744,8.4
745,8.3
746,8.4
747,8.6
748,8.5
749,8.5
750,8.5
751,8.6
752,8.5
753,8.6
754,8.5
755,8.6
756,8.6
757,8.6
758,8.6
759,8.6
760,8.6
761,8.7
762,8.6
763,8.7
764,8.7
765,8.7
766,8.6
767,8.9
768,8.6
769,8.6
770,8.7
771,8.8
772,8.8
773,8.7
774,8.8
775,8.9
776,8.9
777,8.7
778,8.8
779,8.6
780,8.7
781,8.8
782,8.8
783,8.8
784,8.8
785,8.9
786,9
787,9
788,9
789,8.9
790,9
791,8.8
792,8.8
793,9
794,9.1
795,9.1
796,9.1
797,9.1
798,9.1
799,9
800,9.1
801,8.9
802,9.2
803,9.2
804,9.1
805,9.2
806,9.2
807,9.1
808,9
809,9.1
810,9.4
811,9.1
812,9.2
813,9.3
814,9.2
815,9.2
816,9.2
817,9.2
818,9.3
819,9.3
820,9.2
821,9.2
822,9.2
823,9.3
824,9.3
825,9.4
826,9.4
827,9.3
828,9.2
829,9.5
830,9.4
831,9.5
832,9.5
833,9.1
834,9.2
835,9.3
836,9.5
837,9.5
838,9.6
839,9.7
840,9.6
841,9.6
842,9.5
843,9.6
844,9.7
845,9.6
846,9.4
847,9.6
848,9.6
849,9.6
850,9.7
851,9.7
852,9.6
853,9.7
854,9.7
855,9.5
856,9.7
857,9.6
858,9.5
859,9.5
860,9.5
861,9.9
862,9.9
863,9.8
864,9.9
865,9.9
866,9.9
867,9.7
868,9.9
869,9.9
870,9.8
871,9.6
872,10.1
873,9.7
874,9.9
875,9.8
876,9.6
877,9.9
878,9.8
879,10.1
880,9.9
881,10
882,10
883,9.7
884,9.8
885,9.8
886,9.9
887,10
888,10.1
889,10.1
890,10.2
891,10.2
892,10
893,10
894,10
895,10.5
896,10.4
897,10
898,10.2
899,10.2
900,10.1
901,10.2
902,10.2
903,10.3
904,10.2
905,10.2
906,10.3
907,10
908,10.5
909,10.1
910,10.2
911,10.1
912,10.1
913,10.3
914,10.5
915,10.4
916,10.4
917,10.3
918,10.2
919,10.5
920,10.4
921,10.5
922,10.5
923,10.5
924,10.5
925,10.5
926,10.5
927,10.5
928,10.5
929,10.4
930,10.4
931,10.6
932,10.5
933,10.5
934,10.5
935,10.5
936,10.4
937,10.3
938,10.4
939,10.4
940,10.4
941,10.5
942,10.4
943,10.4
944,10.5
945,10.6
946,10.4
947,10.7
948,10.8
949,10.8
950,10.8
951,10.9
952,10.9
953,10.7
954,10.8
955,10.8
956,10.9
957,10.9
958,10.9
959,10.9
960,10.9
961,10.7
962,10.8
963,10.9
964,11
965,10.8
966,10.7
967,10.7
968,10.9
969,10.8
970,10.7
971,10.7
972,10.8
973,10.7
974,10.8
975,11.1
976,11.1
977,11.2
978,11.1
979,11.1
980,11.1
981,11.2
982,11.1
983,11.1
984,11.2
985,11
986,11
987,11.2
988,11.3
989,11.2
990,11.3
991,11.2
992,11.2
993,11
994,11.1
995,11
996,10.9
997,11.2
998,11.2
999,11.1
1000,11.2
