N,T1,T2
454,195850,0
455,277490,0
456,595990,0
457,2329720,0
458,1041110,0
459,208100,0
460,722200,0
461,128160,0
462,2834390,0
463,443750,0
464,864870,0
465,373800,0
466,526420,0
467,167260,0
468,363300,0
469,213360,0
470,409800,0
471,366540,0
472,355150,0
473,347970,0
474,851380,0
475,395680,0
476,1423230,0
477,1027670,0
478,806860,0
479,545540,0
480,155980,0
481,223900,0
482,422690,0
483,202910,0
484,1901940,0
485,920310,0
486,630550,0
487,488380,0
488,172520,0
489,242170,0
490,1036260,0
491,1170300,0
492,1469410,0
493,165980,0
494,379870,0
495,562770,0
496,964550,0
497,173180,0
498,653420,0
499,357270,0
500,964570,0
501,211800,0
502,386410,0
503,645100,0
504,997540,0
505,171470,0
506,375250,0
507,511840,0
508,501550,0
509,381520,0
510,451800,0
511,319820,0
512,1992950,0
513,309840,0
514,1552970,0
515,508690,0
516,544300,0
517,433910,0
518,509510,0
519,377970,0
520,798380,0
521,677310,0
522,383830,0
523,603550,0
524,165270,0
525,273120,0
526,1033230,0
527,312620,0
528,310570,0
529,741890,0
530,675200,0
531,186810,0
532,1994570,0
533,908480,0
534,164420,0
535,3454930,0
536,1286390,0
537,1125050,0
538,265190,0
539,939010,0
540,694590,0
541,351340,0
542,950420,0
543,530300,0
544,391910,0
545,1024630,0
546,845280,0
547,40850,0
548,1271560,0
549,323260,0
550,1089990,0
551,568150,0
552,483450,0
553,507110,0
554,405250,0
555,359620,0
556,709450,0
557,189000,0
558,1241400,0
559,1176930,0
560,816030,0
561,1184290,0
562,641160,0
563,846070,0
564,1146510,0
565,488310,0
566,563400,0
567,782140,0
568,3098260,0
569,419750,0
570,608690,0
571,412760,0
572,417260,0
573,1092850,0
574,1209210,0
575,428380,0
576,1376930,0
577,1758500,0
578,518600,0
579,411460,0
580,871030,0
581,602200,0
582,511250,0
583,631920,0
584,1375940,0
585,1715970,0
586,622960,0
587,375390,0
588,4427560,0
589,1574990,0
590,1903170,0
591,511470,0
592,713820,0
593,365980,0
594,122450,0
595,1368600,0
596,886750,0
597,1259310,0
598,1691230,0
599,951400,0
600,866790,0
601,426260,0
602,444160,0
603,1531160,0
604,382510,0
605,1077510,0
606,196100,0
607,193010,0
608,1226080,0
609,691440,0
610,709930,0
611,520990,0
612,521790,0
613,449060,0
614,1857880,0
615,535610,0
616,278130,0
617,15720,0
618,923810,0
619,608990,0
620,292380,0
621,783650,0
622,209300,0
623,1338820,0
624,409870,0
625,4811230,0
626,215690,0
627,708770,0
628,629630,0
629,278360,0
630,1282140,0
631,1702940,0
632,303850,0
633,133650,0
634,1592900,0
635,816390,0
636,749730,0
637,2067290,0
638,2661940,0
639,492100,0
640,590050,0
641,2004260,0
642,206890,0
643,1408490,0
644,234920,0
