N,T
668,200
669,320
670,190
671,270
672,280
673,240
674,370
675,270
676,280
677,210
678,370
679,460
680,240
681,250
682,180
683,240
684,210
685,280
686,260
687,230
688,370
689,260
690,950
691,320
692,270
693,260
694,260
695,390
696,260
697,320
698,420
699,400
700,420
701,280
702,230
703,330
704,370
705,350
706,280
707,180
708,470
709,270
710,310
711,300
712,170
713,360
714,410
715,290
716,250
717,320
718,410
719,200
720,470
721,330
722,410
723,500
724,560
725,250
726,270
727,210
728,330
729,260
730,330
731,350
732,410
733,290
734,320
735,250
736,750
737,260
738,210
739,290
740,220
741,460
742,340
743,290
744,500
745,380
746,270
747,260
748,300
749,270
750,380
751,250
752,260
753,320
754,350
755,450
756,410
757,290
758,540
759,260
760,220
761,350
762,320
763,270
764,350
765,200
766,310
767,270
768,210
769,630
770,350
771,230
772,370
773,250
774,290
775,800
776,280
777,240
778,400
779,270
780,310
781,300
782,180
783,260
784,260
785,220
786,430
787,670
788,210
789,320
790,490
791,320
792,380
793,500
794,230
795,370
796,460
797,330
798,400
799,480
800,270
801,540
802,540
803,260
804,760
805,280
806,240
807,580
808,290
809,310
810,670
811,390
812,470
813,340
814,300
815,300
816,310
817,320
818,290
819,300
820,330
821,360
822,370
823,300
824,410
825,240
826,310
827,480
828,200
829,250
830,220
831,270
832,260
833,480
834,290
835,270
836,280
837,300
838,240
839,310
840,280
841,240
842,430
843,350
844,370
845,430
846,310
847,410
848,390
849,190
850,490
851,450
852,220
853,740
854,460
855,370
856,500
857,550
858,1370
859,600
860,350
861,370
862,560
863,290
864,620
865,510
866,350
867,430
868,1230
869,330
870,280
871,230
872,330
873,260
874,220
875,280
876,300
877,470
878,330
879,360
880,230
881,250
882,530
883,540
884,670
885,440
886,390
887,690
888,530
889,580
890,340
891,670
892,540
893,500
894,780
895,370
896,720
897,610
898,520
899,710
900,490
901,630
902,930
903,720
904,550
905,610
906,470
907,860
908,490
909,650
910,490
911,710
912,380
913,360
914,510
915,340
916,460
917,390
918,540
919,490
920,520
921,400
922,430
923,600
924,360
925,390
926,380
927,250
928,280
929,540
930,580
931,710
932,380
933,340
934,490
935,580
936,370
937,350
938,400
939,280
940,350
941,260
942,290
943,380
944,450
945,370
946,510
947,230
948,260
949,350
950,350
951,300
952,300
953,380
954,380
955,360
956,380
957,240
958,360
959,350
960,270
961,300
962,460
963,230
964,300
965,290
966,420
967,300
968,450
969,400
970,320
971,300
972,290
973,480
974,300
975,290
976,290
977,480
978,360
979,480
980,250
981,260
982,220
983,290
984,360
985,280
986,360
987,290
988,340
989,340
990,380
991,330
992,270
993,250
994,210
995,320
996,310
997,360
998,240
999,200
1000,280
